Pageable host memory calculations:
145 - 19 = 126
146 - 20 = 126
147 - 18 = 129
148 - 8 = 140
149 - 15 = 134
150 - 15 = 135
151 - 24 = 127
152 - 21 = 131
153 - 23 = 130
154 - 18 = 136
155 - 20 = 135
156 - 21 = 135
157 - 1 = 156
158 - 21 = 137
159 - 5 = 154
160 - 4 = 156
161 - 13 = 148
162 - 14 = 148
163 - 3 = 160
164 - 16 = 148
165 - 0 = 165
166 - 18 = 148
167 - 0 = 167
168 - 9 = 159
169 - 14 = 155
170 - 24 = 146
171 - 14 = 157
172 - 12 = 160
173 - 6 = 167
174 - 18 = 156
175 - 16 = 159
176 - 2 = 174
177 - 15 = 162
178 - 9 = 169
179 - 11 = 168
180 - 7 = 173
181 - 1 = 180
182 - 12 = 170
183 - 3 = 180
184 - 0 = 184
185 - 7 = 178
186 - 24 = 162
187 - 21 = 166
188 - 8 = 180
189 - 20 = 169
190 - 4 = 186
191 - 12 = 179
192 - 10 = 182
193 - 18 = 175
194 - 18 = 176
195 - 3 = 192
196 - 18 = 178
197 - 11 = 186
198 - 3 = 195
199 - 4 = 195
200 - 1 = 199
201 - 4 = 197
202 - 18 = 184
203 - 13 = 190
204 - 13 = 191
205 - 13 = 192
206 - 6 = 200
207 - 15 = 192
208 - 4 = 204
209 - 18 = 191
210 - 3 = 207
211 - 13 = 198
212 - 19 = 193
213 - 17 = 196
214 - 17 = 197
215 - 21 = 194
216 - 24 = 192
217 - 18 = 199
218 - 20 = 198
219 - 8 = 211
220 - 15 = 205
221 - 24 = 197
222 - 22 = 200
223 - 0 = 223
224 - 19 = 205
225 - 15 = 210
226 - 5 = 221
227 - 14 = 213
228 - 4 = 224
229 - 11 = 218
230 - 19 = 211
231 - 7 = 224
232 - 17 = 215
233 - 14 = 219
234 - 22 = 212
235 - 7 = 228
236 - 5 = 231
237 - 4 = 233
238 - 23 = 215
239 - 11 = 228
240 - 22 = 218
241 - 3 = 238
242 - 24 = 218
243 - 18 = 225
244 - 21 = 223
245 - 18 = 227
246 - 15 = 231
247 - 22 = 225
248 - 11 = 237
249 - 10 = 239
250 - 5 = 245
251 - 1 = 250
252 - 11 = 241
253 - 5 = 248
254 - 3 = 251
255 - 5 = 250
0 * 8 = 0
1 * 11 = 11
2 * 2 = 4
3 * 15 = 45
4 * 18 = 72
5 * 10 = 50
6 * 11 = 66
7 * 17 = 119
8 * 24 = 192
9 * 21 = 189
10 * 12 = 120
11 * 2 = 22
12 * 15 = 180
13 * 9 = 117
14 * 13 = 182
15 * 1 = 15
16 * 15 = 240
17 * 1 = 17
18 * 22 = 396
19 * 11 = 209
20 * 11 = 220
21 * 18 = 378
22 * 17 = 374
23 * 4 = 92
24 * 7 = 168
25 * 5 = 125
26 * 12 = 312
27 * 23 = 621
28 * 17 = 476
29 * 10 = 290
30 * 4 = 120
31 * 2 = 62
32 * 22 = 704
33 * 8 = 264
34 * 19 = 646
35 * 17 = 595
36 * 18 = 648
37 * 6 = 222
38 * 11 = 418
39 * 17 = 663
40 * 4 = 160
41 * 23 = 943
42 * 21 = 882
43 * 19 = 817
44 * 9 = 396
45 * 12 = 540
46 * 23 = 1058
47 * 24 = 1128
48 * 15 = 720
49 * 20 = 980
50 * 13 = 650
51 * 1 = 51
52 * 16 = 832
53 * 5 = 265
54 * 6 = 324
55 * 23 = 1265
56 * 12 = 672
57 * 20 = 1140
58 * 21 = 1218
59 * 6 = 354
60 * 5 = 300
61 * 0 = 0
62 * 9 = 558
63 * 2 = 126
64 * 11 = 704
65 * 5 = 325
66 * 21 = 1386
67 * 4 = 268
68 * 13 = 884
69 * 7 = 483
70 * 24 = 1680
71 * 20 = 1420
72 * 7 = 504
73 * 20 = 1460
74 * 14 = 1036
75 * 17 = 1275
76 * 9 = 684
77 * 14 = 1078
78 * 18 = 1404
79 * 0 = 0
80 * 12 = 960
81 * 8 = 648
82 * 1 = 82
83 * 3 = 249
84 * 13 = 1092
85 * 9 = 765
86 * 3 = 258
87 * 1 = 87
88 * 4 = 352
89 * 24 = 2136
90 * 7 = 630
91 * 10 = 910
92 * 1 = 92
93 * 18 = 1674
94 * 14 = 1316
95 * 12 = 1140
96 * 1 = 96
97 * 11 = 1067
98 * 19 = 1862
99 * 14 = 1386
100 * 20 = 2000
101 * 20 = 2020
102 * 9 = 918
103 * 3 = 309
104 * 17 = 1768
105 * 1 = 105
106 * 22 = 2332
107 * 2 = 214
108 * 17 = 1836
109 * 17 = 1853
110 * 2 = 220
111 * 6 = 666
112 * 1 = 112
113 * 5 = 565
114 * 11 = 1254
115 * 16 = 1840
116 * 15 = 1740
117 * 14 = 1638
118 * 19 = 2242
119 * 19 = 2261
120 * 15 = 1800
121 * 4 = 484
122 * 6 = 732
123 * 17 = 2091
124 * 22 = 2728
125 * 21 = 2625
126 * 6 = 756
127 * 0 = 0
128 * 9 = 1152
129 * 2 = 258
130 * 17 = 2210
131 * 6 = 786
132 * 22 = 2904
133 * 3 = 399
134 * 11 = 1474
135 * 15 = 2025
136 * 6 = 816
137 * 8 = 1096
138 * 19 = 2622
139 * 24 = 3336
140 * 3 = 420
141 * 21 = 2961
142 * 7 = 994
143 * 4 = 572
144 * 3 = 432
145 * 19 = 2755
146 * 20 = 2920
147 * 18 = 2646
148 * 8 = 1184
149 * 15 = 2235
150 * 15 = 2250
151 * 24 = 3624
152 * 21 = 3192
153 * 23 = 3519
154 * 18 = 2772
155 * 20 = 3100
156 * 21 = 3276
157 * 1 = 157
158 * 21 = 3318
159 * 5 = 795
160 * 4 = 640
161 * 13 = 2093
162 * 14 = 2268
163 * 3 = 489
164 * 16 = 2624
165 * 0 = 0
166 * 18 = 2988
167 * 0 = 0
168 * 9 = 1512
169 * 14 = 2366
170 * 24 = 4080
171 * 14 = 2394
172 * 12 = 2064
173 * 6 = 1038
174 * 18 = 3132
175 * 16 = 2800
176 * 2 = 352
177 * 15 = 2655
178 * 9 = 1602
179 * 11 = 1969
180 * 7 = 1260
181 * 1 = 181
182 * 12 = 2184
183 * 3 = 549
184 * 0 = 0
185 * 7 = 1295
186 * 24 = 4464
187 * 21 = 3927
188 * 8 = 1504
189 * 20 = 3780
190 * 4 = 760
191 * 12 = 2292
192 * 10 = 1920
193 * 18 = 3474
194 * 18 = 3492
195 * 3 = 585
196 * 18 = 3528
197 * 11 = 2167
198 * 3 = 594
199 * 4 = 796
200 * 1 = 200
201 * 4 = 804
202 * 18 = 3636
203 * 13 = 2639
204 * 13 = 2652
205 * 13 = 2665
206 * 6 = 1236
207 * 15 = 3105
208 * 4 = 832
209 * 18 = 3762
210 * 3 = 630
211 * 13 = 2743
212 * 19 = 4028
213 * 17 = 3621
214 * 17 = 3638
215 * 21 = 4515
216 * 24 = 5184
217 * 18 = 3906
218 * 20 = 4360
219 * 8 = 1752
220 * 15 = 3300
221 * 24 = 5304
222 * 22 = 4884
223 * 0 = 0
224 * 19 = 4256
225 * 15 = 3375
226 * 5 = 1130
227 * 14 = 3178
228 * 4 = 912
229 * 11 = 2519
230 * 19 = 4370
231 * 7 = 1617
232 * 17 = 3944
233 * 14 = 3262
234 * 22 = 5148
235 * 7 = 1645
236 * 5 = 1180
237 * 4 = 948
238 * 23 = 5474
239 * 11 = 2629
240 * 22 = 5280
241 * 3 = 723
242 * 24 = 5808
243 * 18 = 4374
244 * 21 = 5124
245 * 18 = 4410
246 * 15 = 3690
247 * 22 = 5434
248 * 11 = 2728
249 * 10 = 2490
250 * 5 = 1250
251 * 1 = 251
252 * 11 = 2772
253 * 5 = 1265
254 * 3 = 762
255 * 5 = 1275
0 % 8 = 0
1 % 11 = 1
2 % 2 = 0
3 % 15 = 3
4 % 18 = 4
5 % 10 = 5
6 % 11 = 6
7 % 17 = 7
8 % 24 = 8
9 % 21 = 9
10 % 12 = 10
11 % 2 = 1
12 % 15 = 12
13 % 9 = 4
14 % 13 = 1
15 % 1 = 0
16 % 15 = 1
17 % 1 = 0
18 % 22 = 18
19 % 11 = 8
20 % 11 = 9
21 % 18 = 3
22 % 17 = 5
23 % 4 = 3
24 % 7 = 3
25 % 5 = 0
26 % 12 = 2
27 % 23 = 4
28 % 17 = 11
29 % 10 = 9
30 % 4 = 2
31 % 2 = 1
32 % 22 = 10
33 % 8 = 1
34 % 19 = 15
35 % 17 = 1
36 % 18 = 0
37 % 6 = 1
38 % 11 = 5
39 % 17 = 5
40 % 4 = 0
41 % 23 = 18
42 % 21 = 0
43 % 19 = 5
44 % 9 = 8
45 % 12 = 9
46 % 23 = 0
47 % 24 = 23
48 % 15 = 3
49 % 20 = 9
50 % 13 = 11
51 % 1 = 0
52 % 16 = 4
53 % 5 = 3
54 % 6 = 0
55 % 23 = 9
56 % 12 = 8
57 % 20 = 17
58 % 21 = 16
59 % 6 = 5
60 % 5 = 0
61 % 0 = -1
62 % 9 = 8
63 % 2 = 1
64 % 11 = 9
65 % 5 = 0
66 % 21 = 3
67 % 4 = 3
68 % 13 = 3
69 % 7 = 6
70 % 24 = 22
71 % 20 = 11
72 % 7 = 2
73 % 20 = 13
74 % 14 = 4
75 % 17 = 7
76 % 9 = 4
77 % 14 = 7
78 % 18 = 6
79 % 0 = -1
80 % 12 = 8
81 % 8 = 1
82 % 1 = 0
83 % 3 = 2
84 % 13 = 6
85 % 9 = 4
86 % 3 = 2
87 % 1 = 0
88 % 4 = 0
89 % 24 = 17
90 % 7 = 6
91 % 10 = 1
92 % 1 = 0
93 % 18 = 3
94 % 14 = 10
95 % 12 = 11
96 % 1 = 0
97 % 11 = 9
98 % 19 = 3
99 % 14 = 1
100 % 20 = 0
101 % 20 = 1
102 % 9 = 3
103 % 3 = 1
104 % 17 = 2
105 % 1 = 0
106 % 22 = 18
107 % 2 = 1
108 % 17 = 6
109 % 17 = 7
110 % 2 = 0
111 % 6 = 3
112 % 1 = 0
113 % 5 = 3
114 % 11 = 4
115 % 16 = 3
116 % 15 = 11
117 % 14 = 5
118 % 19 = 4
119 % 19 = 5
120 % 15 = 0
121 % 4 = 1
122 % 6 = 2
123 % 17 = 4
124 % 22 = 14
125 % 21 = 20
126 % 6 = 0
127 % 0 = -1
128 % 9 = 2
129 % 2 = 1
130 % 17 = 11
131 % 6 = 5
132 % 22 = 0
133 % 3 = 1
134 % 11 = 2
135 % 15 = 0
136 % 6 = 4
137 % 8 = 1
138 % 19 = 5
139 % 24 = 19
140 % 3 = 2
141 % 21 = 15
142 % 7 = 2
143 % 4 = 3
144 % 3 = 0
145 % 19 = 12
146 % 20 = 6
147 % 18 = 3
148 % 8 = 4
149 % 15 = 14
150 % 15 = 0
151 % 24 = 7
152 % 21 = 5
153 % 23 = 15
154 % 18 = 10
155 % 20 = 15
156 % 21 = 9
157 % 1 = 0
158 % 21 = 11
159 % 5 = 4
160 % 4 = 0
161 % 13 = 5
162 % 14 = 8
163 % 3 = 1
164 % 16 = 4
165 % 0 = -1
166 % 18 = 4
167 % 0 = -1
168 % 9 = 6
169 % 14 = 1
170 % 24 = 2
171 % 14 = 3
172 % 12 = 4
173 % 6 = 5
174 % 18 = 12
175 % 16 = 15
176 % 2 = 0
177 % 15 = 12
178 % 9 = 7
179 % 11 = 3
180 % 7 = 5
181 % 1 = 0
182 % 12 = 2
183 % 3 = 0
184 % 0 = -1
185 % 7 = 3
186 % 24 = 18
187 % 21 = 19
188 % 8 = 4
189 % 20 = 9
190 % 4 = 2
191 % 12 = 11
192 % 10 = 2
193 % 18 = 13
194 % 18 = 14
195 % 3 = 0
196 % 18 = 16
197 % 11 = 10
198 % 3 = 0
199 % 4 = 3
200 % 1 = 0
201 % 4 = 1
202 % 18 = 4
203 % 13 = 8
204 % 13 = 9
205 % 13 = 10
206 % 6 = 2
207 % 15 = 12
208 % 4 = 0
209 % 18 = 11
210 % 3 = 0
211 % 13 = 3
212 % 19 = 3
213 % 17 = 9
214 % 17 = 10
215 % 21 = 5
216 % 24 = 0
217 % 18 = 1
218 % 20 = 18
219 % 8 = 3
220 % 15 = 10
221 % 24 = 5
222 % 22 = 2
223 % 0 = -1
224 % 19 = 15
225 % 15 = 0
226 % 5 = 1
227 % 14 = 3
228 % 4 = 0
229 % 11 = 9
230 % 19 = 2
231 % 7 = 0
232 % 17 = 11
233 % 14 = 9
234 % 22 = 14
235 % 7 = 4
236 % 5 = 1
237 % 4 = 1
238 % 23 = 8
239 % 11 = 8
240 % 22 = 20
241 % 3 = 1
242 % 24 = 2
243 % 18 = 9
244 % 21 = 13
245 % 18 = 11
246 % 15 = 6
247 % 22 = 5
248 % 11 = 6
249 % 10 = 9
250 % 5 = 0
251 % 1 = 0
252 % 11 = 10
253 % 5 = 3
254 % 3 = 2
255 % 5 = 0
Pinned host memory calculations:
0 + 20 = 20
1 + 11 = 12
2 + 19 = 21
3 + 1 = 4
4 + 22 = 26
5 + 15 = 20
6 + 8 = 14
7 + 16 = 23
8 + 7 = 15
9 + 8 = 17
10 + 24 = 34
11 + 12 = 23
12 + 12 = 24
13 + 24 = 37
14 + 0 = 14
15 + 11 = 26
16 + 2 = 18
17 + 24 = 41
18 + 4 = 22
19 + 0 = 19
20 + 18 = 38
21 + 21 = 42
22 + 23 = 45
23 + 6 = 29
24 + 6 = 30
25 + 5 = 30
26 + 8 = 34
27 + 19 = 46
28 + 10 = 38
29 + 13 = 42
30 + 24 = 54
31 + 6 = 37
32 + 24 = 56
33 + 21 = 54
34 + 9 = 43
35 + 23 = 58
36 + 13 = 49
37 + 18 = 55
38 + 15 = 53
39 + 20 = 59
40 + 1 = 41
41 + 16 = 57
42 + 9 = 51
43 + 15 = 58
44 + 15 = 59
45 + 9 = 54
46 + 1 = 47
47 + 17 = 64
48 + 11 = 59
49 + 7 = 56
50 + 20 = 70
51 + 6 = 57
52 + 4 = 56
53 + 18 = 71
54 + 12 = 66
55 + 12 = 67
56 + 23 = 79
57 + 22 = 79
58 + 9 = 67
59 + 9 = 68
60 + 11 = 71
61 + 10 = 71
62 + 17 = 79
63 + 12 = 75
64 + 6 = 70
65 + 1 = 66
66 + 13 = 79
67 + 22 = 89
68 + 21 = 89
69 + 5 = 74
70 + 19 = 89
71 + 24 = 95
72 + 21 = 93
73 + 4 = 77
74 + 14 = 88
75 + 11 = 86
76 + 15 = 91
77 + 17 = 94
78 + 5 = 83
79 + 3 = 82
80 + 2 = 82
81 + 0 = 81
82 + 9 = 91
83 + 8 = 91
84 + 20 = 104
85 + 24 = 109
86 + 22 = 108
87 + 19 = 106
88 + 21 = 109
89 + 6 = 95
90 + 5 = 95
91 + 9 = 100
92 + 17 = 109
93 + 22 = 115
94 + 22 = 116
95 + 0 = 95
96 + 0 = 96
97 + 10 = 107
98 + 22 = 120
99 + 24 = 123
100 + 15 = 115
101 + 17 = 118
102 + 23 = 125
103 + 13 = 116
104 + 23 = 127
105 + 15 = 120
106 + 24 = 130
107 + 15 = 122
108 + 9 = 117
109 + 6 = 115
110 + 19 = 129
111 + 11 = 122
112 + 7 = 119
113 + 5 = 118
114 + 19 = 133
115 + 4 = 119
116 + 4 = 120
117 + 19 = 136
118 + 23 = 141
119 + 1 = 120
120 + 0 = 120
121 + 5 = 126
122 + 10 = 132
123 + 17 = 140
124 + 4 = 128
125 + 9 = 134
126 + 18 = 144
127 + 5 = 132
128 + 21 = 149
129 + 17 = 146
130 + 4 = 134
131 + 13 = 144
132 + 11 = 143
133 + 4 = 137
134 + 1 = 135
135 + 9 = 144
136 + 19 = 155
137 + 2 = 139
138 + 2 = 140
139 + 6 = 145
140 + 9 = 149
141 + 21 = 162
142 + 17 = 159
143 + 18 = 161
144 + 3 = 147
145 + 14 = 159
146 + 22 = 168
147 + 8 = 155
148 + 8 = 156
149 + 23 = 172
150 + 11 = 161
151 + 8 = 159
152 + 3 = 155
153 + 23 = 176
154 + 3 = 157
155 + 8 = 163
156 + 8 = 164
157 + 23 = 180
158 + 15 = 173
159 + 4 = 163
160 + 17 = 177
161 + 21 = 182
162 + 18 = 180
163 + 4 = 167
164 + 0 = 164
165 + 21 = 186
166 + 13 = 179
167 + 22 = 189
168 + 24 = 192
169 + 15 = 184
170 + 3 = 173
171 + 8 = 179
172 + 13 = 185
173 + 22 = 195
174 + 3 = 177
175 + 17 = 192
176 + 11 = 187
177 + 0 = 177
178 + 2 = 180
179 + 21 = 200
180 + 0 = 180
181 + 13 = 194
182 + 7 = 189
183 + 4 = 187
184 + 11 = 195
185 + 10 = 195
186 + 14 = 200
187 + 21 = 208
188 + 10 = 198
189 + 4 = 193
190 + 3 = 193
191 + 2 = 193
192 + 0 = 192
193 + 23 = 216
194 + 6 = 200
195 + 2 = 197
196 + 19 = 215
197 + 22 = 219
198 + 24 = 222
199 + 18 = 217
200 + 14 = 214
201 + 2 = 203
202 + 3 = 205
203 + 3 = 206
204 + 0 = 204
205 + 6 = 211
206 + 22 = 228
207 + 13 = 220
208 + 9 = 217
209 + 1 = 210
210 + 10 = 220
211 + 9 = 220
212 + 14 = 226
213 + 17 = 230
214 + 15 = 229
215 + 2 = 217
216 + 4 = 220
217 + 4 = 221
218 + 24 = 242
219 + 14 = 233
220 + 10 = 230
221 + 4 = 225
222 + 18 = 240
223 + 10 = 233
224 + 2 = 226
225 + 0 = 225
226 + 13 = 239
227 + 21 = 248
228 + 24 = 252
229 + 14 = 243
230 + 17 = 247
231 + 13 = 244
232 + 17 = 249
233 + 20 = 253
234 + 18 = 252
235 + 19 = 254
236 + 4 = 240
237 + 15 = 252
238 + 7 = 245
239 + 15 = 254
240 + 16 = 256
241 + 19 = 260
242 + 1 = 243
243 + 7 = 250
244 + 11 = 255
245 + 17 = 262
246 + 10 = 256
247 + 17 = 264
248 + 23 = 271
249 + 11 = 260
250 + 6 = 256
251 + 9 = 260
252 + 15 = 267
253 + 0 = 253
254 + 21 = 275
255 + 17 = 272
0 - 20 = -20
1 - 11 = -10
2 - 19 = -17
3 - 1 = 2
4 - 22 = -18
5 - 15 = -10
6 - 8 = -2
7 - 16 = -9
8 - 7 = 1
9 - 8 = 1
10 - 24 = -14
11 - 12 = -1
12 - 12 = 0
13 - 24 = -11
14 - 0 = 14
15 - 11 = 4
16 - 2 = 14
17 - 24 = -7
18 - 4 = 14
19 - 0 = 19
20 - 18 = 2
21 - 21 = 0
22 - 23 = -1
23 - 6 = 17
24 - 6 = 18
25 - 5 = 20
26 - 8 = 18
27 - 19 = 8
28 - 10 = 18
29 - 13 = 16
30 - 24 = 6
31 - 6 = 25
32 - 24 = 8
33 - 21 = 12
34 - 9 = 25
35 - 23 = 12
36 - 13 = 23
37 - 18 = 19
38 - 15 = 23
39 - 20 = 19
40 - 1 = 39
41 - 16 = 25
42 - 9 = 33
43 - 15 = 28
44 - 15 = 29
45 - 9 = 36
46 - 1 = 45
47 - 17 = 30
48 - 11 = 37
49 - 7 = 42
50 - 20 = 30
51 - 6 = 45
52 - 4 = 48
53 - 18 = 35
54 - 12 = 42
55 - 12 = 43
56 - 23 = 33
57 - 22 = 35
58 - 9 = 49
59 - 9 = 50
60 - 11 = 49
61 - 10 = 51
62 - 17 = 45
63 - 12 = 51
64 - 6 = 58
65 - 1 = 64
66 - 13 = 53
67 - 22 = 45
68 - 21 = 47
69 - 5 = 64
70 - 19 = 51
71 - 24 = 47
72 - 21 = 51
73 - 4 = 69
74 - 14 = 60
75 - 11 = 64
76 - 15 = 61
77 - 17 = 60
78 - 5 = 73
79 - 3 = 76
80 - 2 = 78
81 - 0 = 81
82 - 9 = 73
83 - 8 = 75
84 - 20 = 64
85 - 24 = 61
86 - 22 = 64
87 - 19 = 68
88 - 21 = 67
89 - 6 = 83
90 - 5 = 85
91 - 9 = 82
92 - 17 = 75
93 - 22 = 71
94 - 22 = 72
95 - 0 = 95
96 - 0 = 96
97 - 10 = 87
98 - 22 = 76
99 - 24 = 75
100 - 15 = 85
101 - 17 = 84
102 - 23 = 79
